lowRangeNumber;highRangeNumber;lengthBasePrimeRange;lengthBasePrime;sqrtMaxRange;lengthRangeAnalysis;Time;Date
2;3;1;2;2;2;2016-05-30 20:42:57;2016-05-30
3;5;2;3;3;3;2016-05-30 20:42:57;2016-05-30
5;7;2;4;3;5;2016-05-30 20:42:57;2016-05-30
7;11;1;5;4;7;2016-05-30 20:42:57;2016-05-30
11;17;3;7;5;11;2016-05-30 20:42:57;2016-05-30
17;23;3;9;6;17;2016-05-30 20:42:57;2016-05-30
23;37;4;12;8;23;2016-05-30 20:42:57;2016-05-30
37;59;4;17;10;37;2016-05-30 20:42:57;2016-05-30
59;89;5;24;12;59;2016-05-30 20:42:57;2016-05-30
89;139;6;34;15;89;2016-05-30 20:42:57;2016-05-30
139;227;8;49;19;139;2016-05-30 20:42:57;2016-05-30
227;359;9;72;24;227;2016-05-30 20:42:57;2016-05-30
359;577;11;106;31;359;2016-05-30 20:42:57;2016-05-30
577;929;12;158;39;577;2016-05-30 20:42:57;2016-05-30
929;1499;15;239;49;929;2016-05-30 20:42:57;2016-05-30
1499;2423;18;360;63;1499;2016-05-30 20:42:57;2016-05-30
2423;3919;22;543;80;2423;2016-05-30 20:42:57;2016-05-30
3919;6337;26;825;101;3919;2016-05-30 20:42:57;2016-05-30
6337;10253;31;1257;129;6337;2016-05-30 20:42:57;2016-05-30
10253;16573;38;1919;164;10253;2016-05-30 20:42:58;2016-05-30
16573;26821;46;2942;208;16573;2016-05-30 20:42:58;2016-05-30
26821;43391;56;4523;265;26821;2016-05-30 20:42:58;2016-05-30
43391;70207;68;6959;337;43391;2016-05-30 20:42:59;2016-05-30
70207;113591;82;10757;429;70207;2016-05-30 20:43:00;2016-05-30
113591;183797;100;16647;545;113591;2016-05-30 20:43:02;2016-05-30
183797;297377;125;25797;694;183797;2016-05-30 20:43:06;2016-05-30
297377;481171;152;40101;882;297377;2016-05-30 20:43:12;2016-05-30
481171;778541;187;62360;1122;481171;2016-05-30 20:43:23;2016-05-30
778541;1259701;225;97165;1428;778541;2016-05-30 20:43:45;2016-05-30
1259701;2038217;280;151588;1816;1259701;2016-05-30 20:44:25;2016-05-30
2038217;3297913;343;236781;2310;2038217;2016-05-30 20:45:40;2016-05-30
3297913;5336129;423;370240;2938;3297913;2016-05-30 20:48:01;2016-05-30
5336129;8633983;521;579570;3738;5336129;2016-05-30 20:52:52;2016-05-30
8633983;13970093;640;908291;4754;8633983;2016-05-30 21:02:38;2016-05-30
13970093;22604069;789;1424834;6048;13970093;2016-05-30 21:21:19;2016-05-30
22604069;36574151;976;2237256;7693;22604069;2016-05-30 21:59:39;2016-05-30
36574151;59178199;1206;3516259;9785;36574151;2016-05-30 23:10:29;2016-05-30
